id,category,vec
5201,9,"[ 0.  0.  0. ...,  0.  0.  0.]"
5202,8,"[ 13.   9.   3. ...,   0.   0.   0.]"
5203,1,"[ 52.   9.  11. ...,   0.   0.   0.]"
5204,1,"[ 31.   6.   7. ...,   0.   0.   0.]"
5205,4,"[ 34.   2.   6. ...,   0.   0.   0.]"
5206,2,"[ 16.  11.   3. ...,   0.   0.   0.]"
5207,8,"[ 20.  20.   8. ...,   0.   0.   0.]"
5208,9,"[ 32.   5.   9. ...,   0.   0.   0.]"
5209,7,"[ 24.   3.   7. ...,   0.   0.   0.]"
5210,9,"[ 40.  18.   9. ...,   0.   0.   0.]"
5211,3,"[ 24.   9.   6. ...,   0.   0.   0.]"
5212,3,"[ 12.   2.   5. ...,   0.   0.   0.]"
5213,1,"[ 28.  11.   8. ...,   0.   0.   0.]"
5214,6,"[ 25.  23.  14. ...,   0.   0.   0.]"
5215,2,"[ 1.  2.  2. ...,  0.  0.  0.]"
5216,4,"[ 26.   5.   9. ...,   0.   0.   0.]"
5217,2,"[ 20.  23.  13. ...,   0.   0.   0.]"
5218,3,"[ 30.  12.  15. ...,   0.   0.   0.]"
5219,10,"[ 67.  49.  19. ...,   0.   0.   0.]"
5220,2,"[ 54.  13.  11. ...,   0.   0.   0.]"
5221,8,"[ 25.   8.   6. ...,   0.   0.   0.]"
5222,9,"[ 33.  15.  10. ...,   0.   0.   0.]"
5223,5,"[ 29.  16.   6. ...,   0.   0.   0.]"
5224,3,"[ 30.  15.   9. ...,   0.   0.   0.]"
5225,8,"[ 38.   7.   5. ...,   0.   0.   0.]"
5226,5,"[ 41.   1.   9. ...,   0.   0.   0.]"
5227,4,"[ 30.   6.   8. ...,   0.   0.   0.]"
5228,6,"[ 39.  30.  21. ...,   0.   0.   0.]"
5229,8,"[ 37.   8.   8. ...,   0.   0.   0.]"
5230,8,"[ 28.  10.  10. ...,   0.   0.   0.]"
5231,1,"[ 33.  21.  10. ...,   0.   0.   0.]"
5232,6,"[ 35.  23.  19. ...,   0.   0.   0.]"
5233,5,"[ 56.  10.  16. ...,   0.   0.   0.]"
5234,1,"[ 22.   7.   8. ...,   0.   0.   0.]"
5235,8,"[ 26.   3.   8. ...,   0.   0.   0.]"
5236,4,"[ 20.   5.   6. ...,   0.   0.   0.]"
5237,3,"[ 47.  16.  11. ...,   0.   0.   0.]"
5238,2,"[ 33.  10.  10. ...,   0.   0.   0.]"
5239,9,"[ 1.  0.  0. ...,  0.  0.  0.]"
5240,9,"[ 48.  11.  16. ...,   0.   0.   0.]"
5241,8,"[ 64.  47.  27. ...,   0.   0.   0.]"
5242,8,"[ 32.  18.   5. ...,   0.   0.   0.]"
5243,5,"[ 26.  21.  11. ...,   0.   0.   0.]"
5244,4,"[ 23.   5.  13. ...,   0.   0.   0.]"
5245,1,"[ 21.  18.   9. ...,   0.   0.   0.]"
5246,9,"[ 14.   2.   7. ...,   0.   0.   0.]"
5247,7,"[ 45.   4.  14. ...,   0.   0.   0.]"
5248,5,"[ 29.  11.  12. ...,   0.   0.   0.]"
5249,2,"[ 41.  17.  10. ...,   0.   0.   0.]"
5250,9,"[ 46.   9.  16. ...,   0.   0.   0.]"
5251,8,"[ 27.   5.   7. ...,   0.   0.   0.]"
5252,2,"[ 30.   4.   7. ...,   0.   0.   0.]"
5253,1,"[ 16.   5.   5. ...,   0.   0.   0.]"
5254,1,"[ 24.   6.   5. ...,   0.   0.   0.]"
5255,7,"[ 38.   4.  10. ...,   0.   0.   0.]"
5256,4,"[ 38.   5.  11. ...,   0.   0.   0.]"
5257,7,"[ 35.   7.   8. ...,   0.   0.   0.]"
5258,3,"[ 37.   4.  11. ...,   0.   0.   0.]"
5259,8,"[ 9.  1.  2. ...,  0.  0.  0.]"
5260,3,"[ 31.   9.   6. ...,   0.   0.   0.]"
5261,5,"[ 18.   1.   7. ...,   0.   0.   0.]"
5262,6,"[ 2.  2.  2. ...,  0.  0.  0.]"
5263,7,"[ 18.   2.   3. ...,   0.   0.   0.]"
5264,1,"[ 33.  19.  11. ...,   0.   0.   0.]"
5265,8,"[ 19.   4.   6. ...,   0.   0.   0.]"
5266,8,"[ 30.  10.   7. ...,   0.   0.   0.]"
5267,3,"[ 32.   5.   8. ...,   0.   0.   0.]"
5268,6,"[ 20.   4.   9. ...,   0.   0.   0.]"
5269,1,"[ 31.   2.   6. ...,   0.   0.   0.]"
5270,2,"[ 44.  23.  16. ...,   0.   0.   0.]"
5271,4,"[ 5.  1.  3. ...,  0.  0.  0.]"
5272,8,"[ 27.   6.   7. ...,   0.   0.   0.]"
5273,5,"[ 29.  20.  11. ...,   0.   0.   0.]"
5274,3,"[ 20.   6.   6. ...,   0.   0.   0.]"
5275,8,"[ 8.  0.  4. ...,  0.  0.  0.]"
5276,1,"[ 34.  22.  19. ...,   0.   0.   0.]"
5277,7,"[ 26.  13.  16. ...,   0.   0.   0.]"
5278,1,"[ 21.  11.  10. ...,   0.   0.   0.]"
5279,6,"[ 25.  23.   9. ...,   0.   0.   0.]"
5280,4,"[ 17.   3.   8. ...,   0.   0.   0.]"
5281,6,"[ 9.  2.  4. ...,  0.  0.  0.]"
5282,1,"[ 23.   5.   7. ...,   0.   0.   0.]"
5283,5,"[ 59.  17.  19. ...,   0.   0.   0.]"
5284,6,"[ 16.  10.  11. ...,   0.   0.   0.]"
5285,10,"[ 7.  1.  2. ...,  0.  0.  0.]"
5286,1,"[ 34.   7.   9. ...,   0.   0.   0.]"
5287,3,"[ 23.   4.   6. ...,   0.   0.   0.]"
5288,1,"[ 28.   4.   7. ...,   0.   0.   0.]"
5289,10,"[ 79.  28.  31. ...,   0.   0.   0.]"
5290,1,"[ 29.  19.  12. ...,   0.   0.   0.]"
5291,6,"[ 27.  20.  12. ...,   0.   0.   0.]"
5292,3,"[ 22.  14.   9. ...,   0.   0.   0.]"
5293,9,"[ 9.  6.  6. ...,  0.  0.  0.]"
5294,2,"[ 33.  16.  12. ...,   0.   0.   0.]"
5295,9,"[ 1.  1.  0. ...,  0.  0.  0.]"
5296,3,"[ 13.   6.   2. ...,   0.   0.   0.]"
5297,7,"[ 21.   4.   7. ...,   0.   0.   0.]"
5298,10,"[ 31.  18.  10. ...,   0.   0.   0.]"
5299,9,"[ 4.  4.  1. ...,  0.  0.  0.]"
5300,8,"[ 50.  14.   9. ...,   0.   0.   0.]"
5301,5,"[ 33.   5.  10. ...,   0.   0.   0.]"
5302,2,"[ 18.   5.   7. ...,   0.   0.   0.]"
5303,7,"[ 32.  10.   9. ...,   0.   0.   0.]"
5304,10,"[ 104.   44.   36. ...,    0.    0.    0.]"
5305,2,"[ 23.   8.   7. ...,   0.   0.   0.]"
5306,10,"[ 4.  1.  1. ...,  0.  0.  0.]"
5307,8,"[ 29.   9.   9. ...,   0.   0.   0.]"
5308,5,"[ 39.  10.  10. ...,   0.   0.   0.]"
5309,8,"[ 26.  10.   8. ...,   0.   0.   0.]"
5310,5,"[ 5.  0.  2. ...,  0.  0.  0.]"
5311,9,"[ 81.  13.  33. ...,   0.   0.   0.]"
5312,5,"[ 31.  13.   8. ...,   0.   0.   0.]"
5313,4,"[ 23.   6.   7. ...,   0.   0.   0.]"
5314,2,"[ 35.   5.  11. ...,   0.   0.   0.]"
5315,2,"[ 21.  12.   8. ...,   0.   0.   0.]"
5316,4,"[ 29.   1.   5. ...,   0.   0.   0.]"
5317,3,"[ 30.   4.  11. ...,   0.   0.   0.]"
5318,4,"[ 24.   4.   7. ...,   0.   0.   0.]"
5319,10,"[ 21.  10.   6. ...,   0.   0.   0.]"
5320,6,"[ 24.  15.  12. ...,   0.   0.   0.]"
5321,7,"[ 38.   3.   6. ...,   0.   0.   0.]"
5322,10,"[ 5.  0.  2. ...,  0.  0.  0.]"
5323,5,"[ 23.   6.   7. ...,   0.   0.   0.]"
5324,9,"[ 31.  13.   7. ...,   0.   0.   0.]"
5325,4,"[ 41.  18.  22. ...,   0.   0.   0.]"
5326,9,"[ 5.  1.  2. ...,  0.  0.  0.]"
5327,10,"[ 86.  36.  21. ...,   0.   0.   0.]"
5328,8,"[ 12.   1.   5. ...,   0.   0.   0.]"
5329,6,"[ 12.   8.   8. ...,   0.   0.   0.]"
5330,5,"[ 17.   8.   6. ...,   0.   0.   0.]"
5331,5,"[ 17.   6.   8. ...,   0.   0.   0.]"
5332,3,"[ 40.   9.   9. ...,   0.   0.   0.]"
5333,8,"[ 46.  44.  21. ...,   0.   0.   0.]"
5334,9,"[ 2.  0.  0. ...,  0.  0.  0.]"
5335,7,"[ 23.  10.  16. ...,   0.   0.   0.]"
5336,2,"[ 28.   9.  16. ...,   0.   0.   0.]"
5337,10,"[ 23.   4.   6. ...,   0.   0.   0.]"
5338,8,"[ 32.  11.  10. ...,   0.   0.   0.]"
5339,5,"[ 10.   4.   1. ...,   0.   0.   0.]"
5340,6,"[ 19.  11.  15. ...,   0.   0.   0.]"
5341,4,"[ 37.  10.  17. ...,   0.   0.   0.]"
5342,1,"[ 30.  12.   9. ...,   0.   0.   0.]"
5343,3,"[ 17.   6.   1. ...,   0.   0.   0.]"
5344,7,"[ 27.   9.  14. ...,   0.   0.   0.]"
5345,9,"[ 2.  0.  0. ...,  0.  0.  0.]"
5346,6,"[ 34.  25.  20. ...,   0.   0.   0.]"
5347,9,"[ 16.   3.   6. ...,   0.   0.   0.]"
5348,9,"[ 33.  19.  11. ...,   0.   0.   0.]"
5349,3,"[ 34.  12.  10. ...,   0.   0.   0.]"
5350,10,"[ 4.  3.  2. ...,  0.  0.  0.]"
5351,4,"[ 24.   3.   6. ...,   0.   0.   0.]"
5352,4,"[ 38.   9.   9. ...,   0.   0.   0.]"
5353,6,"[ 58.  49.  38. ...,   0.   0.   0.]"
5354,9,"[ 29.  20.   6. ...,   0.   0.   0.]"
5355,6,"[ 18.   9.   9. ...,   0.   0.   0.]"
5356,8,"[ 23.   8.   5. ...,   0.   0.   0.]"
5357,4,"[ 30.   9.   7. ...,   0.   0.   0.]"
5358,4,"[ 34.   4.   6. ...,   0.   0.   0.]"
5359,2,"[ 17.   3.   5. ...,   0.   0.   0.]"
5360,4,"[ 52.   9.  10. ...,   0.   0.   0.]"
5361,3,"[ 6.  1.  3. ...,  0.  0.  0.]"
5362,4,"[ 34.   6.   6. ...,   0.   0.   0.]"
5363,9,"[ 0.  0.  0. ...,  0.  0.  0.]"
5364,4,"[ 30.  13.  10. ...,   0.   0.   0.]"
5365,9,"[ 26.   3.   5. ...,   0.   0.   0.]"
5366,6,"[ 0.  0.  0. ...,  0.  0.  0.]"
5367,5,"[ 31.   9.  12. ...,   0.   0.   0.]"
5368,10,"[ 45.  30.  17. ...,   0.   0.   0.]"
5369,7,"[ 34.  12.   9. ...,   0.   0.   0.]"
5370,8,"[ 33.  11.   8. ...,   0.   0.   0.]"
5371,8,"[ 28.   5.   7. ...,   0.   0.   0.]"
5372,3,"[ 32.  10.   7. ...,   0.   0.   0.]"
5373,10,"[ 3.  3.  0. ...,  0.  0.  0.]"
5374,1,"[ 11.   2.   5. ...,   0.   0.   0.]"
5375,5,"[ 28.   7.  12. ...,   0.   0.   0.]"
5376,7,"[ 19.   2.   5. ...,   0.   0.   0.]"
5377,5,"[ 2.  0.  1. ...,  0.  0.  0.]"
5378,9,"[ 32.  27.  14. ...,   0.   0.   0.]"
5379,9,"[ 0.  0.  0. ...,  0.  0.  0.]"
5380,6,"[ 33.  17.  16. ...,   0.   0.   0.]"
5381,6,"[ 3.  3.  2. ...,  0.  0.  0.]"
5382,7,"[ 22.   9.   7. ...,   0.   0.   0.]"
5383,4,"[ 45.   9.  10. ...,   0.   0.   0.]"
5384,2,"[ 75.  49.  27. ...,   0.   0.   0.]"
5385,8,"[ 46.   8.   7. ...,   0.   0.   0.]"
5386,6,"[ 23.  15.  10. ...,   0.   0.   0.]"
5387,8,"[ 24.  14.   5. ...,   0.   0.   0.]"
5388,9,"[ 79.  27.  25. ...,   0.   0.   0.]"
5389,3,"[ 40.   4.  11. ...,   0.   0.   0.]"
5390,9,"[ 47.  14.  13. ...,   0.   0.   0.]"
5391,6,"[ 37.  19.  15. ...,   0.   0.   0.]"
5392,1,"[ 26.  17.   8. ...,   0.   0.   0.]"
5393,6,"[ 13.  18.  11. ...,   0.   0.   0.]"
5394,4,"[ 37.   8.  12. ...,   0.   0.   0.]"
5395,10,"[ 4.  3.  1. ...,  0.  0.  0.]"
5396,3,"[ 16.   0.   3. ...,   0.   0.   0.]"
5397,6,"[ 24.  15.   9. ...,   0.   0.   0.]"
5398,8,"[ 47.   1.  10. ...,   0.   0.   0.]"
5399,6,"[ 4.  4.  2. ...,  0.  0.  0.]"
5400,10,"[ 5.  4.  2. ...,  0.  0.  0.]"
5401,9,"[ 56.  36.  29. ...,   0.   0.   0.]"
5402,3,"[ 38.  11.  14. ...,   0.   0.   0.]"
5403,7,"[ 23.  11.  12. ...,   0.   0.   0.]"
5404,1,"[ 52.  13.  20. ...,   0.   0.   0.]"
5405,10,"[ 104.   43.   27. ...,    0.    0.    0.]"
5406,10,"[ 24.  19.  10. ...,   0.   0.   0.]"
5407,1,"[ 38.  16.  14. ...,   0.   0.   0.]"
5408,8,"[ 17.   8.   6. ...,   0.   0.   0.]"
5409,10,"[ 3.  1.  1. ...,  0.  0.  0.]"
5410,7,"[ 29.   9.   9. ...,   0.   0.   0.]"
5411,9,"[ 75.  46.  20. ...,   0.   0.   0.]"
5412,1,"[ 39.  11.  17. ...,   0.   0.   0.]"
5413,10,"[ 2.  0.  1. ...,  0.  0.  0.]"
5414,8,"[ 40.  17.  12. ...,   0.   0.   0.]"
5415,4,"[ 17.   7.   5. ...,   0.   0.   0.]"
5416,3,"[ 26.   2.   6. ...,   0.   0.   0.]"
5417,7,"[ 40.   3.   7. ...,   0.   0.   0.]"
5418,8,"[ 57.  11.  10. ...,   0.   0.   0.]"
5419,6,"[ 6.  3.  3. ...,  0.  0.  0.]"
5420,4,"[ 50.   9.  12. ...,   0.   0.   0.]"
5421,7,"[ 31.  16.  10. ...,   0.   0.   0.]"
5422,2,"[ 45.   2.  15. ...,   0.   0.   1.]"
5423,4,"[ 30.   5.   7. ...,   0.   0.   0.]"
5424,5,"[ 25.  10.  12. ...,   0.   0.   0.]"
5425,7,"[ 27.  10.   5. ...,   0.   0.   0.]"
5426,3,"[ 27.  11.  11. ...,   0.   0.   0.]"
5427,6,"[ 12.   8.   8. ...,   0.   0.   0.]"
5428,3,"[ 38.  18.  10. ...,   0.   0.   0.]"
5429,6,"[ 4.  3.  2. ...,  0.  0.  0.]"
5430,1,"[ 26.   6.  11. ...,   0.   0.   0.]"
5431,10,"[ 170.   41.   31. ...,    0.    0.    0.]"
5432,7,"[ 39.   7.  13. ...,   0.   0.   0.]"
5433,8,"[ 44.  25.  14. ...,   0.   0.   0.]"
5434,5,"[ 49.  13.  18. ...,   0.   0.   0.]"
5435,9,"[ 38.  13.   9. ...,   0.   0.   0.]"
5436,9,"[ 47.  21.  14. ...,   0.   0.   0.]"
5437,8,"[ 20.  39.  21. ...,   0.   0.   0.]"
5438,8,"[ 17.   2.   6. ...,   0.   0.   0.]"
5439,8,"[ 26.  18.   9. ...,   0.   0.   0.]"
5440,6,"[ 19.  11.  13. ...,   0.   0.   0.]"
5441,4,"[ 40.   5.   8. ...,   0.   0.   0.]"
5442,9,"[ 31.  11.   5. ...,   0.   0.   0.]"
5443,2,"[ 28.   6.   8. ...,   0.   0.   0.]"
5444,3,"[ 6.  1.  3. ...,  0.  0.  0.]"
5445,7,"[ 20.   7.   7. ...,   0.   0.   0.]"
5446,4,"[ 49.   5.  13. ...,   0.   0.   0.]"
5447,8,"[ 9.  0.  3. ...,  0.  0.  0.]"
5448,4,"[ 20.   8.   8. ...,   0.   0.   0.]"
5449,5,"[ 32.   7.  11. ...,   0.   0.   0.]"
5450,1,"[ 34.   6.  10. ...,   0.   0.   0.]"
5451,9,"[ 29.   5.   7. ...,   0.   0.   0.]"
5452,10,"[ 2.  2.  1. ...,  0.  0.  0.]"
5453,7,"[ 36.  10.  14. ...,   0.   0.   0.]"
5454,9,"[ 30.   6.   9. ...,   0.   0.   0.]"
5455,9,"[ 9.  3.  5. ...,  0.  0.  0.]"
5456,8,"[ 28.  15.  11. ...,   0.   0.   0.]"
5457,10,"[ 16.   7.   7. ...,   0.   0.   0.]"
5458,9,"[ 23.   6.   7. ...,   0.   0.   0.]"
5459,7,"[ 35.  16.  21. ...,   0.   0.   0.]"
5460,1,"[ 37.   8.   8. ...,   0.   0.   0.]"
5461,4,"[ 45.   9.  14. ...,   0.   0.   0.]"
5462,7,"[ 20.   8.   6. ...,   0.   0.   0.]"
5463,5,"[ 22.  15.  12. ...,   0.   0.   0.]"
5464,7,"[ 45.  10.   6. ...,   0.   0.   0.]"
5465,2,"[ 20.   6.   6. ...,   0.   0.   0.]"
5466,5,"[ 9.  2.  2. ...,  0.  0.  0.]"
5467,6,"[ 17.  12.   8. ...,   0.   0.   0.]"
5468,6,"[ 21.  15.  11. ...,   0.   0.   0.]"
5469,10,"[ 19.   2.  10. ...,   0.   0.   0.]"
5470,4,"[ 18.   4.   7. ...,   0.   0.   0.]"
5471,7,"[ 37.  12.   9. ...,   0.   0.   0.]"
5472,1,"[ 26.  24.   7. ...,   0.   0.   0.]"
5473,7,"[ 30.  13.   8. ...,   0.   0.   0.]"
5474,10,"[ 27.   7.   8. ...,   0.   0.   0.]"
5475,6,"[ 27.  12.  16. ...,   0.   0.   0.]"
5476,7,"[ 32.   4.   8. ...,   0.   0.   0.]"
5477,9,"[ 27.   8.   7. ...,   0.   0.   0.]"
5478,3,"[ 10.   2.   3. ...,   0.   0.   0.]"
5479,3,"[ 16.   3.   5. ...,   0.   0.   0.]"
5480,7,"[ 22.  13.  11. ...,   0.   0.   0.]"
5481,8,"[ 28.   8.   7. ...,   0.   0.   0.]"
5482,8,"[ 24.   5.  10. ...,   0.   0.   0.]"
5483,4,"[ 22.   7.   7. ...,   0.   0.   0.]"
5484,1,"[ 53.  11.   8. ...,   0.   0.   0.]"
5485,8,"[ 39.  22.  10. ...,   0.   0.   0.]"
5486,2,"[ 39.   9.   8. ...,   0.   0.   0.]"
5487,3,"[ 26.  13.   5. ...,   0.   0.   0.]"
5488,7,"[ 32.   6.  13. ...,   0.   0.   0.]"
5489,9,"[ 86.  31.  23. ...,   0.   0.   0.]"
5490,4,"[ 37.   4.   9. ...,   0.   0.   0.]"
5491,6,"[ 27.  18.  15. ...,   0.   0.   0.]"
5492,2,"[ 50.  22.  14. ...,   0.   0.   0.]"
5493,2,"[ 46.  17.  15. ...,   0.   0.   0.]"
5494,3,"[ 24.   7.  10. ...,   0.   0.   0.]"
5495,9,"[ 19.  13.   6. ...,   0.   0.   0.]"
5496,5,"[ 15.   3.   5. ...,   0.   0.   0.]"
5497,6,"[ 21.  20.  15. ...,   0.   0.   0.]"
5498,8,"[ 26.   3.   8. ...,   0.   0.   0.]"
5499,9,"[ 45.   1.   8. ...,   0.   0.   0.]"
5500,8,"[ 23.  10.   6. ...,   0.   0.   0.]"
5501,10,"[ 25.   4.  11. ...,   0.   0.   0.]"
5502,2,"[ 0.  1.  0. ...,  0.  0.  0.]"
5503,10,"[ 29.  17.  11. ...,   0.   0.   0.]"
5504,2,"[ 15.   1.   4. ...,   0.   0.   0.]"
5505,8,"[ 18.   1.   5. ...,   0.   0.   0.]"
5506,3,"[ 39.  13.   8. ...,   0.   0.   0.]"
5507,6,"[ 18.   9.  10. ...,   0.   0.   0.]"
5508,8,"[ 24.   4.   6. ...,   0.   0.   0.]"
5509,6,"[ 19.  16.  12. ...,   0.   0.   0.]"
5510,4,"[ 9.  2.  3. ...,  0.  0.  0.]"
5511,3,"[ 23.   3.   5. ...,   0.   0.   0.]"
5512,10,"[ 2.  0.  1. ...,  0.  0.  0.]"
5513,10,"[ 3.  1.  0. ...,  0.  0.  0.]"
5514,1,"[ 14.  16.   6. ...,   0.   0.   0.]"
5515,4,"[ 39.   9.  10. ...,   0.   0.   0.]"
5516,5,"[ 6.  2.  3. ...,  0.  0.  0.]"
5517,5,"[ 33.  26.  14. ...,   0.   0.   0.]"
5518,6,"[ 41.  25.  19. ...,   0.   0.   0.]"
5519,2,"[ 14.   4.   2. ...,   0.   0.   0.]"
5520,5,"[ 41.  13.  17. ...,   0.   0.   0.]"
5521,1,"[ 41.  14.  11. ...,   0.   0.   0.]"
5522,10,"[ 101.   34.   27. ...,    0.    0.    0.]"
5523,7,"[ 27.   2.   7. ...,   0.   0.   0.]"
5524,7,"[ 12.   4.   4. ...,   0.   0.   0.]"
5525,7,"[ 33.  12.   9. ...,   0.   0.   0.]"
5526,9,"[ 2.  1.  0. ...,  0.  0.  0.]"
5527,4,"[ 25.   2.   7. ...,   0.   0.   0.]"
5528,7,"[ 18.   7.   7. ...,   0.   0.   0.]"
5529,5,"[ 15.   7.   3. ...,   2.   0.   0.]"
5530,2,"[ 21.   3.   8. ...,   0.   0.   0.]"
5531,6,"[ 31.  13.  11. ...,   0.   0.   0.]"
5532,1,"[ 32.  11.  10. ...,   0.   0.   0.]"
5533,7,"[ 33.   6.   6. ...,   0.   0.   0.]"
5534,2,"[ 41.  20.  11. ...,   0.   0.   0.]"
5535,9,"[ 47.  16.   9. ...,   1.   0.   0.]"
5536,2,"[ 26.   9.   9. ...,   0.   0.   0.]"
5537,4,"[ 7.  1.  2. ...,  0.  0.  0.]"
5538,9,"[ 52.   8.   8. ...,   0.   0.   0.]"
5539,10,"[ 2.  1.  1. ...,  0.  0.  0.]"
5540,10,"[ 28.  17.   7. ...,   0.   0.   0.]"
5541,7,"[ 68.   5.  16. ...,   0.   0.   0.]"
5542,8,"[ 33.   4.   7. ...,   0.   0.   0.]"
5543,8,"[  6.  11.   7. ...,   0.   0.   0.]"
5544,8,"[ 25.   3.   7. ...,   0.   0.   0.]"
5545,6,"[ 2.  2.  1. ...,  0.  0.  0.]"
5546,2,"[ 9.  3.  3. ...,  0.  0.  0.]"
5547,10,"[ 7.  2.  3. ...,  0.  0.  0.]"
5548,8,"[ 7.  2.  3. ...,  0.  0.  0.]"
5549,2,"[ 40.  18.  12. ...,   0.   0.   0.]"
5550,9,"[ 33.  10.   8. ...,   0.   0.   0.]"
5551,5,"[ 30.   9.  11. ...,   0.   0.   0.]"
5552,4,"[ 9.  4.  5. ...,  0.  0.  0.]"
5553,2,"[ 12.   1.   3. ...,   0.   0.   0.]"
5554,10,"[ 3.  1.  0. ...,  0.  0.  0.]"
5555,8,"[ 29.  12.   7. ...,   0.   0.   0.]"
5556,1,"[ 32.  16.  11. ...,   0.   0.   0.]"
5557,1,"[ 18.   6.   5. ...,   0.   0.   0.]"
5558,6,"[ 9.  3.  4. ...,  0.  0.  0.]"
5559,1,"[ 26.   6.   5. ...,   0.   0.   0.]"
5560,1,"[ 4.  2.  1. ...,  0.  0.  0.]"
5561,4,"[ 39.  11.  11. ...,   0.   0.   0.]"
5562,9,"[ 5.  1.  2. ...,  0.  0.  0.]"
5563,6,"[ 23.  11.   9. ...,   0.   0.   0.]"
5564,10,"[ 29.  16.   9. ...,   0.   0.   0.]"
5565,7,"[ 23.   4.   5. ...,   0.   0.   0.]"
5566,2,"[ 39.  10.  15. ...,   0.   0.   0.]"
5567,2,"[ 7.  1.  2. ...,  0.  0.  0.]"
5568,10,"[ 46.  25.  28. ...,   0.   0.   0.]"
5569,6,"[ 2.  3.  2. ...,  0.  0.  0.]"
5570,5,"[ 37.  14.   7. ...,   0.   0.   0.]"
5571,5,"[ 35.  17.  15. ...,   0.   0.   0.]"
5572,6,"[ 30.  19.  14. ...,   0.   0.   0.]"
5573,10,"[ 22.  15.   5. ...,   0.   0.   0.]"
5574,5,"[ 31.   7.   7. ...,   0.   0.   0.]"
5575,5,"[ 36.   7.  12. ...,   0.   0.   0.]"
5576,6,"[ 21.  14.  11. ...,   0.   0.   0.]"
5577,5,"[ 36.  14.  17. ...,   0.   0.   0.]"
5578,10,"[ 47.  12.  14. ...,   0.   0.   0.]"
5579,2,"[ 48.  12.  10. ...,   0.   0.   0.]"
5580,5,"[ 3.  1.  1. ...,  0.  0.  0.]"
5581,10,"[ 58.  20.  17. ...,   0.   0.   0.]"
5582,7,"[ 20.  13.   9. ...,   0.   0.   0.]"
5583,5,"[ 38.  31.  11. ...,   0.   0.   0.]"
5584,3,"[ 32.  11.   8. ...,   0.   0.   0.]"
5585,9,"[ 18.   5.   4. ...,   0.   0.   0.]"
5586,2,"[ 30.   7.   8. ...,   0.   0.   0.]"
5587,10,"[ 25.  12.   8. ...,   0.   0.   0.]"
5588,6,"[ 26.  17.   9. ...,   0.   0.   0.]"
5589,7,"[ 42.   7.   8. ...,   0.   0.   0.]"
5590,1,"[ 12.   3.   4. ...,   0.   0.   0.]"
5591,2,"[ 44.  32.  15. ...,   0.   0.   0.]"
5592,6,"[ 40.  10.  19. ...,   0.   0.   0.]"
5593,2,"[ 29.  15.  13. ...,   0.   0.   0.]"
5594,3,"[ 38.  10.  18. ...,   0.   0.   0.]"
5595,4,"[ 52.   5.   9. ...,   0.   0.   0.]"
5596,8,"[ 31.   7.   8. ...,   0.   0.   0.]"
5597,6,"[ 14.   3.   8. ...,   0.   0.   0.]"
5598,7,"[ 19.   8.   9. ...,   0.   0.   0.]"
5599,2,"[ 45.   7.  11. ...,   0.   0.   0.]"
5600,4,"[ 28.   6.   9. ...,   0.   0.   0.]"
5601,5,"[ 35.  18.  17. ...,   0.   0.   0.]"
5602,1,"[ 29.   5.   9. ...,   0.   0.   0.]"
5603,4,"[ 19.   7.   7. ...,   0.   0.   0.]"
5604,6,"[ 25.  19.  14. ...,   0.   0.   0.]"
5605,10,"[ 21.  11.   7. ...,   0.   0.   0.]"
5606,5,"[ 22.  14.   7. ...,   0.   0.   0.]"
5607,1,"[ 32.   8.  10. ...,   0.   0.   0.]"
5608,10,"[ 3.  1.  2. ...,  0.  0.  0.]"
5609,5,"[ 16.  10.   7. ...,   0.   0.   0.]"
5610,5,"[ 34.  16.  12. ...,   0.   0.   0.]"
5611,3,"[ 11.   0.   4. ...,   0.   0.   0.]"
5612,2,"[ 0.  1.  0. ...,  0.  0.  0.]"
5613,10,"[ 4.  2.  1. ...,  0.  0.  0.]"
5614,2,"[ 0.  1.  0. ...,  0.  0.  0.]"
5615,3,"[ 45.  13.  19. ...,   0.   0.   0.]"
5616,10,"[ 52.  25.  17. ...,   0.   0.   0.]"
5617,10,"[ 2.  4.  0. ...,  0.  0.  0.]"
5618,9,"[ 67.  12.  37. ...,   0.   0.   0.]"
5619,5,"[ 2.  0.  1. ...,  0.  0.  0.]"
5620,9,"[ 44.  19.  13. ...,   0.   0.   0.]"
5621,8,"[ 57.  38.  26. ...,   0.   0.   0.]"
5622,10,"[ 50.  28.  36. ...,   0.   0.   0.]"
5623,5,"[ 20.  22.   7. ...,   0.   0.   0.]"
5624,7,"[ 46.   2.   8. ...,   0.   0.   0.]"
5625,6,"[ 5.  3.  4. ...,  0.  0.  0.]"
5626,2,"[ 32.  11.  11. ...,   0.   0.   0.]"
5627,10,"[ 117.   43.   24. ...,    0.    0.    0.]"
5628,6,"[ 23.  21.  11. ...,   0.   0.   0.]"
5629,2,"[ 40.   6.  11. ...,   0.   0.   0.]"
5630,6,"[ 12.   8.   8. ...,   0.   0.   0.]"
5631,6,"[ 20.   3.   7. ...,   0.   0.   0.]"
5632,10,"[ 23.  13.   9. ...,   0.   0.   0.]"
5633,1,"[ 31.   6.   7. ...,   0.   0.   0.]"
5634,5,"[ 58.  14.  15. ...,   0.   0.   0.]"
5635,7,"[ 22.  12.  10. ...,   0.   0.   0.]"
5636,10,"[ 42.  13.  18. ...,   0.   0.   0.]"
5637,5,"[ 35.  13.  14. ...,   0.   0.   0.]"
